sector.labels,mu.intercept,mu.age,mu.age2,mu.age3,mu.rad,mu.rad2,mu.rad3,sigma.intercept,sigma.age,sigma.age2,sigma.age3,sigma.rad,sigma.rad2,sigma.rad3,nu.intercept,tau.intercept
rnfltMeanG,16.5225486653016,-0.0697519100345862,0.000791293220278772,0,8.09058149860762,152.59210197389,-371.9836517904,-1.3526663640987,0,0,-3.3978590358794e-07,0.679450538031806,6.69921106271775,0,-0.654014707375543,7.6677877511639
rnfltMeanT,7.98210360489774,0,0,0,0,120.329869269977,0,-1.24714286701994,0.0143363988129797,-0.000125242065219424,0,0,0,0,-0.289940205171389,26.7082761663565
rnfltMeanTS,17.7863738443907,0,0,6.19430633761319e-06,0,260.313216825223,0,-0.829618520549564,0,0,0,0,8.31641247697015,0,0.0632843954634287,16.0912772792164
rnfltMeanTI,22.8057043065507,-0.190747131665335,0.00192947829591972,0,12.9850098193004,0,0,-0.874587563764067,0,0,0,0,0,0,0.0860979028346958,3.89565456295209
rnfltMeanN,14.275298789955,0,0,0,12.7154493695685,172.48383304227,-857.290021801969,-0.924929529798453,0,0,-2.03616379716793e-07,1.64045052712744,0,-58.3730210438013,-0.288863982873074,22.9490898022948
rnfltMeanNS,29.1370588346484,-0.693265578464452,0.0128764013569015,-7.42097003896832e-05,0,92.506260486381,0,-0.877819950266428,0,0,0,0,7.4942287526644,0,0.0630727590637417,4.55570056622832
rnfltMeanNI,15.3542674755951,0.0296830326459129,0,0,14.8254001295708,117.697277079232,-619.264500909665,-0.813691886428538,0,0,0,0.823886883983573,0,0,-0.00431432858075031,14.0318073994651
