angle,mu.intercept,mu.age,mu.age2,mu.age3,mu.rad,mu.rad2,mu.rad3,sigma.intercept,sigma.age,sigma.age2,sigma.age3,sigma.rad,sigma.rad2,sigma.rad3
20.1825293350717,-0.195261909149054,0,0.00237155009579207,-3.5306154827392e-05,20.1591620756373,0,0,2.3927344201334,0,0,0,1.06794138983849,5.94544172828377,0
20.651890482399,-0.0954795022096482,0,0.0022443500217519,-3.36210274580917e-05,20.7333169171986,0,0,2.37594659232228,0,0,1.39144681365522e-07,1.07672120606192,5.13944951402623,0
21.1212516297262,0.116552221724206,0,0.00204481782549815,-3.1165374873151e-05,20.0541808305713,0,0,2.38512620359743,0,0,1.61893287617894e-07,1.05532032772285,0,0
21.5906127770535,0.16713428557585,0,0.00198761498603055,-3.02827381379316e-05,21.1935153411914,0,0,2.39378157505371,0,0,1.41582172061294e-07,0.960492636322203,4.89564466042162,0
22.0599739243807,0.289980243871087,0,0.00183440573581492,-2.8198383309209e-05,21.3218446666294,0,0,2.40206157933731,0,0,1.42674523891362e-07,0.884339894761999,5.1639843737673,0
22.529335071708,0.365738280926637,0,0.00174542461671796,-2.69824975441267e-05,21.7111650323022,0,0,2.40925920186807,0,0,1.37987804979428e-07,1.08175527517861,7.15281184239192,-32.236382497029
22.9986962190352,0.417236171187837,0,0.00168240767827552,-2.6176238251197e-05,21.9412478128266,0,0,2.41279494204543,0,0,1.52458198153719e-07,0.955788611103174,8.44371709823201,-34.9604073438886
23.4680573663625,1.97584393891179,0,0,-6.34807412616733e-06,21.8351678387075,0,0,2.41608836310738,0,0,1.75042220553062e-07,0.893589591497035,8.95303835018185,-39.7538868007328
23.9374185136897,1.91240199270637,0,0,-6.09351670735021e-06,21.1774035559709,0,0,2.41444172928074,0,0,2.24318118000783e-07,0.763738513401868,9.54052131811368,-40.5458116005634
24.406779661017,1.85926393155183,0,0,-5.83986207256431e-06,21.2763583404566,0,0,2.40880491763438,0,0,2.80051257166705e-07,0.70037787582395,10.4326149165279,-43.8662519358795
24.8761408083442,1.78095822578789,0,0,-5.51973295953681e-06,21.050752419636,0,0,2.40524986145799,0,0,3.36833814096779e-07,0.615291570506074,10.9927442595292,-46.4638326974751
25.3455019556714,1.74059713326082,0,0,-5.50995986576109e-06,20.8711937773207,0,0,2.40059072898382,0,0,4.1571973711462e-07,0,10.6628629237843,-31.4555469999913
25.8148631029987,1.66129069901564,0,0,-5.3247723156144e-06,20.8906522897075,0,0,2.39456077783391,0,0,4.81070454675112e-07,0,10.8932575353808,-29.8058554245969
26.2842242503259,1.62740390438738,0,0,-5.30697199206e-06,20.6204568588636,0,0,2.39177021604016,0,0,5.39792867932807e-07,0,11.5968411360913,-33.4742811936093
